GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1500000US360050131002,3.60E+11,Block Group 2  Census Tract 131  Bronx County  New York,17021,2335
1500000US360050131003,3.60E+11,Block Group 3  Census Tract 131  Bronx County  New York,12646,2678
1500000US360050132000,3.60E+11,Block Group 0  Census Tract 132  Bronx County  New York,,
1500000US360050132001,3.60E+11,Block Group 1  Census Tract 132  Bronx County  New York,30586,11005
1500000US360050132002,3.60E+11,Block Group 2  Census Tract 132  Bronx County  New York,40716,7538
1500000US360050132003,3.60E+11,Block Group 3  Census Tract 132  Bronx County  New York,37122,14651
1500000US360050132004,3.60E+11,Block Group 4  Census Tract 132  Bronx County  New York,30999,5909
1500000US360050132005,3.60E+11,Block Group 5  Census Tract 132  Bronx County  New York,41574,9287
1500000US360050133001,3.60E+11,Block Group 1  Census Tract 133  Bronx County  New York,10800,4593
1500000US360050133002,3.60E+11,Block Group 2  Census Tract 133  Bronx County  New York,14730,3799
1500000US360050133003,3.60E+11,Block Group 3  Census Tract 133  Bronx County  New York,13424,4009
1500000US360050133004,3.60E+11,Block Group 4  Census Tract 133  Bronx County  New York,18184,3256
1500000US360050135001,3.60E+11,Block Group 1  Census Tract 135  Bronx County  New York,17254,5497
1500000US360050135002,3.60E+11,Block Group 2  Census Tract 135  Bronx County  New York,8543,2469
1500000US360050135003,3.60E+11,Block Group 3  Census Tract 135  Bronx County  New York,14060,3953
1500000US360050138000,3.60E+11,Block Group 0  Census Tract 138  Bronx County  New York,,
1500000US360050138001,3.60E+11,Block Group 1  Census Tract 138  Bronx County  New York,36795,8373
1500000US360050138002,3.60E+11,Block Group 2  Census Tract 138  Bronx County  New York,34723,6490
1500000US360050141001,3.60E+11,Block Group 1  Census Tract 141  Bronx County  New York,14684,2867
1500000US360050141002,3.60E+11,Block Group 2  Census Tract 141  Bronx County  New York,16117,3220
1500000US360050141003,3.60E+11,Block Group 3  Census Tract 141  Bronx County  New York,29481,22119
1500000US360050143001,3.60E+11,Block Group 1  Census Tract 143  Bronx County  New York,10627,3288
1500000US360050144001,3.60E+11,Block Group 1  Census Tract 144  Bronx County  New York,13841,1902
1500000US360050144002,3.60E+11,Block Group 2  Census Tract 144  Bronx County  New York,11457,4918
1500000US360050144003,3.60E+11,Block Group 3  Census Tract 144  Bronx County  New York,3747,2707
1500000US360050144004,3.60E+11,Block Group 4  Census Tract 144  Bronx County  New York,14457,3397
1500000US360050144005,3.60E+11,Block Group 5  Census Tract 144  Bronx County  New York,13227,5436
1500000US360050144006,3.60E+11,Block Group 6  Census Tract 144  Bronx County  New York,37325,14149
1500000US360050145001,3.60E+11,Block Group 1  Census Tract 145  Bronx County  New York,12598,3225
1500000US360050145002,3.60E+11,Block Group 2  Census Tract 145  Bronx County  New York,9028,2240
1500000US360050145003,3.60E+11,Block Group 3  Census Tract 145  Bronx County  New York,6491,1630
1500000US360050145004,3.60E+11,Block Group 4  Census Tract 145  Bronx County  New York,7441,2847
1500000US360050147011,3.60E+11,Block Group 1  Census Tract 147.01  Bronx County  New York,11389,3373
1500000US360050147012,3.60E+11,Block Group 2  Census Tract 147.01  Bronx County  New York,6417,2599
1500000US360050147013,3.60E+11,Block Group 3  Census Tract 147.01  Bronx County  New York,7702,2852
1500000US360050147021,3.60E+11,Block Group 1  Census Tract 147.02  Bronx County  New York,10257,2023
1500000US360050147022,3.60E+11,Block Group 2  Census Tract 147.02  Bronx County  New York,7228,2181
1500000US360050147023,3.60E+11,Block Group 3  Census Tract 147.02  Bronx County  New York,5767,1107
1500000US360050147024,3.60E+11,Block Group 4  Census Tract 147.02  Bronx County  New York,4235,1139
1500000US360050149001,3.60E+11,Block Group 1  Census Tract 149  Bronx County  New York,9056,1869
1500000US360050149002,3.60E+11,Block Group 2  Census Tract 149  Bronx County  New York,15310,3354
1500000US360050149003,3.60E+11,Block Group 3  Census Tract 149  Bronx County  New York,11290,3077
