SCHOOL_NAME,YEAR,TOTAL,Asian_Per,Black_Per,Hispanic_Per,Indian_Per,White_Per,FreeReducedLunch_FTE_Per
JEFFERSON ELEM. (5020),2014,214,0,96.7,1.4,0,1.9,*
JEFFERSON ELEM. (5020),2013,217,0,98.6,0,0,1.4,*
JEFFERSON ELEM. (5020),2012,202,0,100,0,0,0,*
JEFFERSON ELEM. (5020),2011,197,0,100,0,0,0,94.7
JEFFERSON ELEM. (5020),2010,214,0.5,99.5,0,0,0,93.6
JEFFERSON ELEM. (5020),2009,246,0,100,0,0,0,87.3
JEFFERSON ELEM. (5020),2008,286,0.3,99.7,0,0,0,90.7
KENNARD/CLASSICAL JR. ACAD. (5030),2015,357,9.2,30.5,1.7,0,58.5,*
KENNARD/CLASSICAL JR. ACAD. (5030),2014,369,8.4,31.4,1.4,0.3,58.5,26.1
KENNARD/CLASSICAL JR. ACAD. (5030),2013,344,6.1,36.3,1.2,0.3,56.1,27.1
KENNARD/CLASSICAL JR. ACAD. (5030),2012,312,7.1,33,1.6,0.3,58,27
KENNARD/CLASSICAL JR. ACAD. (5030),2011,348,7.5,35.1,1.4,0,56,24.1
KENNARD/CLASSICAL JR. ACAD. (5030),2010,388,7,39.7,1,0,52.3,32.5
KENNARD/CLASSICAL JR. ACAD. (5030),2009,350,4,49.7,0.9,0.3,45.1,25.2
KENNARD/CLASSICAL JR. ACAD. (5030),2008,368,5.2,46.2,1.9,0.5,46.2,35.9
LACLEDE ELEM. (5060),2015,280,0,98.9,0.4,0,0.7,*
LACLEDE ELEM. (5060),2014,248,0,98.8,0.4,0.8,0,*
LACLEDE ELEM. (5060),2013,212,0,99.5,0.5,0,0,*
LACLEDE ELEM. (5060),2012,183,0,99.5,0.5,0,0,*
LACLEDE ELEM. (5060),2011,245,0,99.6,0.4,0,0,*
LACLEDE ELEM. (5060),2010,256,0,99.6,0,0,0.4,*
LACLEDE ELEM. (5060),2009,246,0.4,98.4,0,0,1.2,83.1
LACLEDE ELEM. (5060),2008,258,0.4,98.4,0,0,1.2,91.1
LANGSTON MIDDLE (3240),2015,282,0,97.9,1.4,0,0.7,*
LANGSTON MIDDLE (3240),2014,278,0.4,98.6,0.4,0.4,0.4,*
LANGSTON MIDDLE (3240),2013,304,0.7,98.7,0,0.3,0.3,*
LANGSTON MIDDLE (3240),2012,298,1,97.3,1.3,0,0.3,*
LANGSTON MIDDLE (3240),2011,299,0.3,98,0,0,1.7,*
LANGSTON MIDDLE (3240),2010,348,0,98.9,0.3,0,0.9,92
LANGSTON MIDDLE (3240),2009,310,0.3,99.4,0,0,0.3,84.6
LANGSTON MIDDLE (3240),2008,311,0,99.7,0,0,0.3,86.8
LEXINGTON ELEM. (5100),2015,339,0,99.4,0,0,0.6,*
LEXINGTON ELEM. (5100),2014,321,0,100,0,0,0,*
LEXINGTON ELEM. (5100),2013,256,0,99.6,0,0,0.4,*
LEXINGTON ELEM. (5100),2012,255,0,99.2,0,0.4,0.4,*
LEXINGTON ELEM. (5100),2011,214,0,100,0,0,0,*
LEXINGTON ELEM. (5100),2010,254,0.8,98.8,0,0,0.4,93.1
LEXINGTON ELEM. (5100),2009,250,0,100,0,0,0,82.9
LEXINGTON ELEM. (5100),2008,285,0,100,0,0,0,*
LONG MIDDLE COMMUNITY ED. CTR. (3260),2015,239,13.8,46.4,10.5,0,29.3,*
LONG MIDDLE COMMUNITY ED. CTR. (3260),2014,245,11.4,41.2,7.8,0,39.6,90.1
LONG MIDDLE COMMUNITY ED. CTR. (3260),2013,258,9.7,46.9,7,0,36.4,92.6
LONG MIDDLE COMMUNITY ED. CTR. (3260),2012,275,9.8,42.5,6.9,0,40.7,94.7
LONG MIDDLE COMMUNITY ED. CTR. (3260),2011,318,8.2,40.6,9.4,0,41.8,86
LONG MIDDLE COMMUNITY ED. CTR. (3260),2010,336,7.1,39.3,10.7,0,42.9,88.8
LONG MIDDLE COMMUNITY ED. CTR. (3260),2009,315,5.7,38.4,9.5,0,46.3,62.2
LONG MIDDLE COMMUNITY ED. CTR. (3260),2008,294,5.1,32.7,11.6,0,50.7,80.8
L'OUVERTURE MIDDLE (3280),2014,0,0,0,0,0,0,*
L'OUVERTURE MIDDLE (3280),2013,204,1,96.1,0.5,0,2.5,*
L'OUVERTURE MIDDLE (3280),2012,238,0.8,95,0,0,4.2,92.7
L'OUVERTURE MIDDLE (3280),2011,258,1.2,96.5,0,0,2.3,92.1
L'OUVERTURE MIDDLE (3280),2010,300,0.7,96,0,0,3.3,88.4
L'OUVERTURE MIDDLE (3280),2009,232,0.4,94.4,0,0,5.2,78.8
L'OUVERTURE MIDDLE (3280),2008,207,1,96.6,0,0,2.4,83.5
LYON AT BLOW ELEM. (5180),2015,387,0.5,84.5,2.3,0,12.7,*
LYON AT BLOW ELEM. (5180),2014,389,0.8,80.7,2.8,0,15.7,*
LYON AT BLOW ELEM. (5180),2013,352,1.1,74.1,3.4,0,21.3,94
LYON AT BLOW ELEM. (5180),2012,406,0.5,69.5,4.2,0,25.9,*
LYON AT BLOW ELEM. (5180),2011,384,0.5,68,6.3,0.3,25,93.7
LYON AT BLOW ELEM. (5180),2010,342,2.3,63.2,7.6,0.3,26.6,86
LYON AT BLOW ELEM. (5180),2009,334,7.5,68.3,3.6,0.3,20.4,61.9
LYON AT BLOW ELEM. (5180),2008,152,0,63.8,2,0.7,33.6,73.3
MALLINCKRODT A.B.I. ELEM. (5240),2015,241,3.3,38.6,3.3,0,54.8,*
MALLINCKRODT A.B.I. ELEM. (5240),2014,250,2,45.6,4.8,0,47.6,43
MALLINCKRODT A.B.I. ELEM. (5240),2013,253,3.2,51.4,5.9,0.4,39.1,56.6
MALLINCKRODT A.B.I. ELEM. (5240),2012,193,4.1,46.1,9.3,0.5,39.9,66.5
MALLINCKRODT A.B.I. ELEM. (5240),2011,178,3.4,53.4,10.7,1.1,31.5,83.3
MALLINCKRODT A.B.I. ELEM. (5240),2010,187,3.2,54,10.2,1.1,31.6,84.8
MALLINCKRODT A.B.I. ELEM. (5240),2009,206,3.4,57.3,5.3,1,33,64.3
MALLINCKRODT A.B.I. ELEM. (5240),2008,229,3.5,57.6,3.5,0.9,34.5,61
MANN ELEM. (5260),2015,310,10.6,65.2,13.2,0,11,*
MANN ELEM. (5260),2014,274,12.8,67.5,9.5,0,10.2,*
MANN ELEM. (5260),2013,222,16.7,62.6,10.4,0,10.4,*
MANN ELEM. (5260),2012,220,17.3,63.2,6.4,0.5,12.7,*
MANN ELEM. (5260),2011,207,14.5,66.2,7.7,0.5,11.1,94.8
MANN ELEM. (5260),2010,243,18.9,58.8,7.4,0,14.8,93.7
MANN ELEM. (5260),2009,247,17.4,61.1,10.5,0.4,10.5,61.8
MANN ELEM. (5260),2008,210,18.6,63.8,7.1,0.5,10,76
MARK TWAIN ELEM. (5280),2009,216,0,99.5,0,0,0.5,76.8
MARK TWAIN ELEM. (5280),2008,187,0,100,0,0,0,80
MASON ELEM. (5340),2015,414,2.4,50.2,13.3,0,34.1,*
MASON ELEM. (5340),2014,393,3.1,42.2,13.5,0.8,40.5,84
MASON ELEM. (5340),2013,387,3.4,45.2,8.5,0.8,42.1,83
MASON ELEM. (5340),2012,326,6.4,38.7,8.3,0.9,45.7,81.4
MASON ELEM. (5340),2011,306,5.6,35.9,8.2,0.3,50,91.3
MASON ELEM. (5340),2010,264,6.4,33.7,5.7,0,54.2,82.8
MASON ELEM. (5340),2009,273,4,37,5.5,0,53.5,60.1
MASON ELEM. (5340),2008,303,4.6,38,7.6,0.7,49.2,66.5
MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,535,7.1,46.9,3.6,0.6,41.9,*
MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,474,7.2,49.4,4.2,0.2,39,48.4
MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,411,7.3,47.9,4.9,0,39.9,47.6
MCKINLEY CLASS. LEADERSHIP AC. (1570),2012,402,4,48.8,3.5,0.7,43,44
MCKINLEY CLASS. LEADERSHIP AC. (1570),2011,430,6,48.1,3.3,0.7,41.9,44.3
MCKINLEY CLASS. LEADERSHIP AC. (1570),2010,58,6.9,56.9,5.2,0,31,57.6
MCKINLEY CLASS. LEADERSHIP AC. (1570),2009,45,6.7,51.1,2.2,2.2,37.8,40.5
MCKINLEY CLASS. LEADERSHIP AC. (1570),2008,16,6.3,56.3,0,0,37.5,43.8
MCKINLEY/CLASSICAL JR. ACAD. (3130),2010,331,5.7,48.6,2.7,0.9,42,49.2
MCKINLEY/CLASSICAL JR. ACAD. (3130),2009,333,7.2,48,2.7,0.3,41.7,39.5
MCKINLEY/CLASSICAL JR. ACAD. (3130),2008,305,6.9,48.5,2.6,0.3,41.6,36.5
MERAMEC ELEM. (5500),2015,232,3.4,86.6,3.4,0,6.5,*
MERAMEC ELEM. (5500),2014,230,5.2,82.2,1.3,0,11.3,*
MERAMEC ELEM. (5500),2013,251,4,88,1.2,0,6.8,*
MERAMEC ELEM. (5500),2012,208,1.4,87,2.4,0,9.1,*
MERAMEC ELEM. (5500),2011,226,4.4,90.3,2.2,0,3.1,*
MERAMEC ELEM. (5500),2010,211,1.4,92.4,0.9,0,5.2,92.1
MERAMEC ELEM. (5500),2009,182,0,97.3,1.1,0,1.6,79.2
MERAMEC ELEM. (5500),2008,208,0.5,94.2,1,0,4.3,66.8
METRO HIGH (1560),2015,335,10.4,45.4,2.4,0.3,41.5,*
METRO HIGH (1560),2014,335,11.3,46,4.8,0.6,37.3,42.2
METRO HIGH (1560),2013,316,9.5,45.3,5.4,0.3,39.6,41.6
METRO HIGH (1560),2012,324,8.3,44.4,4.6,0.3,42.3,42.5
METRO HIGH (1560),2011,291,6.2,45.7,5.2,0,43,34.1
METRO HIGH (1560),2010,297,5.4,47.8,3.7,0,43.1,39.5
METRO HIGH (1560),2009,304,3.6,47.7,3,0,45.7,33.3
METRO HIGH (1560),2008,310,3.2,47.1,2.9,0,46.8,30.8
MILLER CAREER ACADEMY (1100),2015,685,0.1,95.6,0.3,0.1,3.8,*
MILLER CAREER ACADEMY (1100),2014,710,0.1,95.6,0.8,0.1,3.2,84.4
MILLER CAREER ACADEMY (1100),2013,788,0.5,95.4,1,0.3,2.8,85.3
MILLER CAREER ACADEMY (1100),2012,807,0.6,94.4,0.9,0.2,3.8,81.4
MILLER CAREER ACADEMY (1100),2011,703,0.7,94.6,1.1,0.1,3.4,81.6
MILLER CAREER ACADEMY (1100),2010,725,0.4,93.8,0.8,0.3,4.7,81.5
MILLER CAREER ACADEMY (1100),2009,729,0,93.7,0.8,0.3,5.2,64.2
MILLER CAREER ACADEMY (1100),2008,712,0,92.7,0.7,0.1,6.5,54.5
MITCHELL ELEM. (5540),2008,243,0,98.4,0.4,0,1.2,91.9
MONROE ELEM. (5560),2015,311,0.3,91.3,0.3,1,7.1,*
MONROE ELEM. (5560),2014,310,0,92.6,0.3,0,7.1,*
MONROE ELEM. (5560),2013,311,0.3,89.7,1,0,9,*
MONROE ELEM. (5560),2012,242,0.8,91.3,0.4,0,7.4,*
MONROE ELEM. (5560),2011,236,0.8,88.1,1.7,0,9.3,*
MONROE ELEM. (5560),2010,219,1.4,89.5,1.4,0,7.8,94.5
MONROE ELEM. (5560),2009,181,1.1,81.2,3.3,0,14.4,73.2
MONROE ELEM. (5560),2008,276,1.1,88.4,3.6,0,6.9,78.4
MULLANPHY BOTANICAL GARDENS (5590),2015,379,3.2,73.6,11.9,0,11.3,*
MULLANPHY BOTANICAL GARDENS (5590),2014,403,2.7,79.4,9.2,0,8.7,93.1
MULLANPHY BOTANICAL GARDENS (5590),2013,418,1.7,80.6,7.7,0,10,88.2
MULLANPHY BOTANICAL GARDENS (5590),2012,355,2.8,78.6,6.2,0.6,11.8,87.6
MULLANPHY BOTANICAL GARDENS (5590),2011,364,2.7,76.6,4.4,0.5,15.7,82.8
MULLANPHY BOTANICAL GARDENS (5590),2010,416,3.1,71.9,6,0.5,18.5,81.1
MULLANPHY BOTANICAL GARDENS (5590),2009,412,2.2,66.7,5.8,0.7,24.5,68.9
MULLANPHY BOTANICAL GARDENS (5590),2008,396,3.5,64.9,4.8,0.5,26.3,66.1
NORTHWEST MIDDLE (3310),2009,65,0,100,0,0,0,77.8
NORTHWEST MIDDLE (3310),2008,153,0,100,0,0,0,82.3
OAK HILL ELEM. (5600),2015,314,9.9,55.4,15,0,19.7,*
OAK HILL ELEM. (5600),2014,324,12.3,50.9,14.8,0,21.9,*
OAK HILL ELEM. (5600),2013,362,13.8,48.9,14.1,0,23.2,*
OAK HILL ELEM. (5600),2012,352,13.6,42,15.3,0,29,*
OAK HILL ELEM. (5600),2011,368,14.4,41.3,13.6,0,30.7,94.1
OAK HILL ELEM. (5600),2010,347,14.1,38.6,13.5,0,33.7,91.6
OAK HILL ELEM. (5600),2009,290,10.3,34.5,15.2,0,40,67.7
OAK HILL ELEM. (5600),2008,327,10.1,36.7,11.6,0,41.6,67.2
PEABODY ELEM. (5620),2015,226,0,99.6,0.4,0,0,*
PEABODY ELEM. (5620),2014,307,0,99.7,0,0,0.3,*
PEABODY ELEM. (5620),2013,293,0,100,0,0,0,*
PEABODY ELEM. (5620),2012,258,0,100,0,0,0,*
PEABODY ELEM. (5620),2011,314,0.6,99.4,0,0,0,*
PEABODY ELEM. (5620),2010,272,1.1,98.5,0,0,0.4,*
PEABODY ELEM. (5620),2009,260,1.5,98.5,0,0,0,76.5
PEABODY ELEM. (5620),2008,281,1.1,98.9,0,0,0,74.5
ROOSEVELT 9TH GRADE CTR. (1640),2009,308,1.6,84.7,1,0,12.7,62.1
ROOSEVELT 9TH GRADE CTR. (1640),2008,417,1,84.9,2.4,0,11.8,76
ROOSEVELT HIGH (1680),2015,625,6.9,72.3,7.8,0,13,*
ROOSEVELT HIGH (1680),2014,776,8.1,74,5.4,0,12.5,86.2
ROOSEVELT HIGH (1680),2013,906,6.7,74.4,5.1,0.1,13.7,85.7
ROOSEVELT HIGH (1680),2012,879,5.7,76.6,4.8,0.1,12.9,80.5
ROOSEVELT HIGH (1680),2011,1003,7.4,76.8,5.4,0,10.5,77.6
ROOSEVELT HIGH (1680),2010,1218,4.1,80.4,3.7,0.1,11.7,73
ROOSEVELT HIGH (1680),2009,1057,3.5,82.2,3.8,0,10.5,53.3
ROOSEVELT HIGH (1680),2008,982,1.9,85.3,4.1,0.1,8.6,45.2
SCRUGGS ELEM. (5740),2009,210,13.8,66.7,5.7,0,13.8,73.2
SCRUGGS ELEM. (5740),2008,272,10.7,72.1,7,0,10.3,67.8
SHAW VISUAL/PERF. ARTS CTR. (5780),2015,384,0.5,82.8,3.6,0.8,12.2,*
SHAW VISUAL/PERF. ARTS CTR. (5780),2014,372,0.8,82.3,3.2,0.5,13.2,88.3
SHAW VISUAL/PERF. ARTS CTR. (5780),2013,385,1.3,79.2,3.9,0.5,15.1,88.7
SHAW VISUAL/PERF. ARTS CTR. (5780),2012,349,0.9,75.9,4.3,0.6,18.3,88
SHAW VISUAL/PERF. ARTS CTR. (5780),2011,318,0,70.4,5.7,0.9,23,86.6
SHAW VISUAL/PERF. ARTS CTR. (5780),2010,323,0,68.1,5.3,1.2,25.4,83.1
SHAW VISUAL/PERF. ARTS CTR. (5780),2009,325,0.3,66.2,4,1.2,28.3,62.8
SHAW VISUAL/PERF. ARTS CTR. (5780),2008,312,0.6,63.8,3.8,1,30.8,63
SHENANDOAH ELEM. (5800),2015,183,2.2,92.9,0.5,0,4.4,*
SHENANDOAH ELEM. (5800),2014,170,2.9,90,0.6,0,6.5,*
SHENANDOAH ELEM. (5800),2013,158,3.2,89.2,2.5,0,5.1,93.8
SHENANDOAH ELEM. (5800),2012,141,4.3,90.8,1.4,0,3.5,94.2
SHENANDOAH ELEM. (5800),2011,129,3.9,95.3,0,0,0.8,94.9
SHENANDOAH ELEM. (5800),2010,122,3.3,96.7,0,0,0,93.3
SHENANDOAH ELEM. (5800),2009,115,2.6,91.3,0.9,0,5.2,79.5
SHENANDOAH ELEM. (5800),2008,112,0,93.8,2.7,0.9,2.7,89
SHEPARD ELEM. (5820),2009,139,0,87.8,0,0,12.2,68.9
SHEPARD ELEM. (5820),2008,229,0,92.1,0.9,0,7,73
SHERMAN ELEM. COMM. ED. CTR. (5840),2014,0,0,0,0,0,0,*
SHERMAN ELEM. COMM. ED. CTR. (5840),2013,157,0,90.4,3.8,0,5.7,*
SHERMAN ELEM. COMM. ED. CTR. (5840),2012,124,0,97.6,0,0,2.4,*
SHERMAN ELEM. COMM. ED. CTR. (5840),2011,125,0.8,96.8,0.8,0,1.6,93.6
SHERMAN ELEM. COMM. ED. CTR. (5840),2010,143,0.7,94.4,0.7,0,4.2,*
SHERMAN ELEM. COMM. ED. CTR. (5840),2009,171,0.6,95.3,2.3,0,1.8,78.8
SHERMAN ELEM. COMM. ED. CTR. (5840),2008,174,0,96,2.3,0,1.7,90.3
SIGEL ELEM. COMM. ED. CTR. (5860),2015,259,0.4,94.6,2.3,0,2.7,*
SIGEL ELEM. COMM. ED. CTR. (5860),2014,277,0,91,3.2,0,5.8,*
SIGEL ELEM. COMM. ED. CTR. (5860),2013,250,0.8,91.6,3.2,0,4.4,*
SIGEL ELEM. COMM. ED. CTR. (5860),2012,262,1.5,87.4,3.8,0,7.3,*
SIGEL ELEM. COMM. ED. CTR. (5860),2011,256,1.2,84.8,3.5,0,10.5,*
SIGEL ELEM. COMM. ED. CTR. (5860),2010,241,2.1,82.6,4.1,0,11.2,89.1
SIGEL ELEM. COMM. ED. CTR. (5860),2009,252,5.2,79.4,5.2,0.4,9.9,80.3
SIGEL ELEM. COMM. ED. CTR. (5860),2008,200,2,82,5.5,0,10.5,88.1
SIMMONS ELEM. (5880),2009,292,0.3,99,0,0.3,0.3,85.1
SIMMONS ELEM. (5880),2008,222,0,98.6,0,0,1.4,85.2
SOLDAN INTERNATIONAL STUDIES (1730),2015,554,6.9,86.5,2.9,0.2,3.6,*
SOLDAN INTERNATIONAL STUDIES (1730),2014,559,5.2,86.4,4.8,0.2,3.4,92.2
SOLDAN INTERNATIONAL STUDIES (1730),2013,553,5.6,84.8,4,0,5.6,88.3
SOLDAN INTERNATIONAL STUDIES (1730),2012,624,6.6,78.7,5.8,0.5,8.5,87.8
SOLDAN INTERNATIONAL STUDIES (1730),2011,676,3.3,78.6,6.7,0.4,11.1,86.6
SOLDAN INTERNATIONAL STUDIES (1730),2010,749,3.9,76.5,7.1,0.4,12.1,86.3
SOLDAN INTERNATIONAL STUDIES (1730),2009,648,5.2,69,9,0.3,16.5,69
SOLDAN INTERNATIONAL STUDIES (1730),2008,677,4.6,65.7,8.3,0,21.4,67.5
ST. LOUIS CHILDREN'S HOSPITAL (6340),2015,23,0,95.7,0,0,4.3,*
ST. LOUIS CHILDREN'S HOSPITAL (6340),2014,12,0,91.7,0,0,8.3,*
ST. LOUIS CHILDREN'S HOSPITAL (6340),2013,9,0,66.7,0,0,33.3,88.2
ST. LOUIS CHILDREN'S HOSPITAL (6340),2012,11,0,81.8,0,0,18.2,72.7
ST. LOUIS CHILDREN'S HOSPITAL (6340),2011,14,0,85.7,0,0,14.3,69.6
ST. LOUIS CHILDREN'S HOSPITAL (6340),2010,1,0,100,0,0,0,*
ST. LOUIS CHILDREN'S HOSPITAL (6340),2009,0,0,0,0,0,0,*
ST. LOUIS CHILDREN'S HOSPITAL (6340),2008,19,5.3,47.4,5.3,0,42.1,*
STEVENS MIDDLE COMMUNITY ED. (3400),2015,0,0,0,0,0,0,*
STEVENS MIDDLE COMMUNITY ED. (3400),2014,0,0,0,0,0,0,*
STEVENS MIDDLE COMMUNITY ED. (3400),2013,0,0,0,0,0,0,*
STEVENS MIDDLE COMMUNITY ED. (3400),2012,0,0,0,0,0,0,*
STEVENS MIDDLE COMMUNITY ED. (3400),2011,174,0,99.4,0.6,0,0,*
STEVENS MIDDLE COMMUNITY ED. (3400),2010,248,0,99.6,0.4,0,0,91.7
STEVENS MIDDLE COMMUNITY ED. (3400),2009,273,0,98.9,0.4,0,0.7,79.6
STEVENS MIDDLE COMMUNITY ED. (3400),2008,257,0,99.6,0,0,0.4,81
STIX EARLY CHILDHOOD CTR. (5930),2015,330,1.8,86.1,1.8,0.3,10,*
STIX EARLY CHILDHOOD CTR. (5930),2014,342,2.6,86,2.3,0.3,8.8,79.4
STIX EARLY CHILDHOOD CTR. (5930),2013,350,2,86.3,2.9,0.3,8.6,80.6
STIX EARLY CHILDHOOD CTR. (5930),2012,340,2.6,81.2,3.2,0.3,12.6,83.7
STIX EARLY CHILDHOOD CTR. (5930),2011,367,1.9,77.9,3,0.8,16.3,74.9
STIX EARLY CHILDHOOD CTR. (5930),2010,308,2.9,76,3.6,1,16.6,76.4
STIX EARLY CHILDHOOD CTR. (5930),2009,307,2.6,71,4.2,1.6,20.5,61.4
STIX EARLY CHILDHOOD CTR. (5930),2008,328,0.9,71.3,4.6,1.5,21.6,66
STOWE PREPARATORY JR. HIGH (2070),2009,253,0,100,0,0,0,76.9
STOWE PREPARATORY JR. HIGH (2070),2008,273,0.4,99.6,0,0,0,83.4
SUMNER HIGH (1800),2015,440,0,98.4,0.7,0,0.9,*
SUMNER HIGH (1800),2014,579,0.2,99.1,0.3,0,0.3,93.7
SUMNER HIGH (1800),2013,576,0.5,98.1,0.7,0,0.7,89.6
SUMNER HIGH (1800),2012,521,0,99.8,0.2,0,0,88.6
SUMNER HIGH (1800),2011,586,0.3,99.5,0.2,0,0,87.5
SUMNER HIGH (1800),2010,878,0.5,99,0.3,0,0.2,73.4
SUMNER HIGH (1800),2009,948,0.1,99.2,0.5,0,0.2,61.6
SUMNER HIGH (1800),2008,1016,0,99,0.4,0,0.6,64.6
THE COLLEGE PREPARATORY HIGH (1550),2015,290,0,99,0.3,0.3,0.3,*
THE COLLEGE PREPARATORY HIGH (1550),2014,375,0,100,0,0,0,*
THE COLLEGE PREPARATORY HIGH (1550),2013,437,0,99.3,0,0,0.7,93.8
TRANSPORTATION AND LAW (1540),2015,364,0.3,98.1,0,0.3,1.4,*
TRANSPORTATION AND LAW (1540),2014,357,0,98.6,0.3,0,1.1,*
TRANSPORTATION AND LAW (1540),2013,269,0.4,98.1,0.4,0,1.1,*
TRANSPORTATION AND LAW (1540),2012,298,0,98.3,0.3,0,1.3,92.8
TRANSPORTATION AND LAW (1540),2011,318,0,98.7,0,0,1.3,86.6
TRANSPORTATION AND LAW (1540),2010,344,0,99.4,0,0,0.6,88.6
TRANSPORTATION AND LAW (1540),2009,285,0,99.6,0,0,0.4,77.1
TRANSPORTATION AND LAW (1540),2008,220,0,99.1,0,0,0.9,78.8
VASHON 9TH GRADE CTR. (1600),2008,212,0,100,0,0,0,81
VASHON HIGH (1830),2015,645,0,99.5,0.3,0,0.2,*
VASHON HIGH (1830),2014,864,0.1,99.1,0.1,0,0.7,91.9
VASHON HIGH (1830),2013,900,0.2,98.6,0.3,0,0.9,88.3
VASHON HIGH (1830),2012,828,0.4,98.3,0.1,0,1.2,88.8
VASHON HIGH (1830),2011,658,0.2,98.9,0,0,0.9,89.6
VASHON HIGH (1830),2010,739,0.1,99.6,0.1,0,0.1,81.5
VASHON HIGH (1830),2009,818,0.1,99.6,0,0,0.2,73.3
VASHON HIGH (1830),2008,713,0,100,0,0,0,64.5
VO. TECH. TUITION (9995),2015,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2014,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2013,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2012,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2011,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2010,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2009,0,0,0,0,0,0,*
VO. TECH. TUITION (9995),2008,0,0,0,0,0,0,*
WALBRIDGE ELEM. COMMUNITY ED. (5960),2015,158,0.6,99.4,0,0,0,*
WALBRIDGE ELEM. COMMUNITY ED. (5960),2014,227,0,99.6,0,0.4,0,*
WALBRIDGE ELEM. COMMUNITY ED. (5960),2013,228,0,99.6,0,0,0.4,93.1
WALBRIDGE ELEM. COMMUNITY ED. (5960),2012,206,0,99,0,0,1,*
WALBRIDGE ELEM. COMMUNITY ED. (5960),2011,335,0,100,0,0,0,*
WALBRIDGE ELEM. COMMUNITY ED. (5960),2010,379,0,99.5,0.3,0,0.3,93.4
WALBRIDGE ELEM. COMMUNITY ED. (5960),2009,267,0,99.6,0,0,0.4,81.9
WALBRIDGE ELEM. COMMUNITY ED. (5960),2008,276,0,98.6,0.4,0,1.1,83.6
WASHINGTON MONTESSORI (6010),2015,307,0.3,95.4,1,2,1.3,*
WASHINGTON MONTESSORI (6010),2014,324,0.6,94.8,1.2,1.9,1.5,90.7
WASHINGTON MONTESSORI (6010),2013,321,0.3,92.2,2.8,2.2,2.5,93
WASHINGTON MONTESSORI (6010),2012,327,0.6,89.3,4,1.5,4.6,88.3
WASHINGTON MONTESSORI (6010),2011,332,1.8,83.7,5.7,2.1,6.6,91.2
WASHINGTON MONTESSORI (6010),2010,324,1.5,80.2,6.8,1.5,9.9,87.1
WASHINGTON MONTESSORI (6010),2009,284,3.2,75.4,10.6,1.4,9.5,76.8
WASHINGTON MONTESSORI (6010),2008,285,3.2,71.6,9.8,1.4,14,81.6
WILKINSON EARLY CHILDHOOD CTR. (6030),2015,177,0.6,63.3,3.4,0.6,32.2,*
WILKINSON EARLY CHILDHOOD CTR. (6030),2014,204,0.5,69.1,2.9,0.5,27,72.4
WILKINSON EARLY CHILDHOOD CTR. (6030),2013,199,0,65.3,2,0.5,32.2,68.2
WILKINSON EARLY CHILDHOOD CTR. (6030),2012,117,0.9,64.1,1.7,0,33.3,64.9
WILKINSON EARLY CHILDHOOD CTR. (6030),2011,118,1.7,73.7,0.8,0.8,22.9,78.6
WILKINSON EARLY CHILDHOOD CTR. (6030),2010,137,2.2,65,0.7,0.7,31.4,73.9
WILKINSON EARLY CHILDHOOD CTR. (6030),2009,154,1.9,64.3,0,0,33.8,61.8
WILKINSON EARLY CHILDHOOD CTR. (6030),2008,140,0.7,62.1,2.9,0,34.3,61.9
WOERNER ELEM. (5970),2015,382,9.7,28,9.9,0,52.4,*
WOERNER ELEM. (5970),2014,364,9.6,24.7,8.5,0,57.1,89.4
WOERNER ELEM. (5970),2013,366,10.7,23.2,7.4,0,58.7,84.2
WOERNER ELEM. (5970),2012,362,9.7,24.3,5.5,0,60.5,87
WOERNER ELEM. (5970),2011,358,8.4,24.6,5.3,0,61.7,88.9
WOERNER ELEM. (5970),2010,402,6.5,22.1,6,0.2,65.2,86.3
WOERNER ELEM. (5970),2009,369,6,23.8,7,0,63.1,67.8
WOERNER ELEM. (5970),2008,380,6.8,21.3,6.1,0,65.8,77.2
WOODWARD ELEM. (6120),2015,358,4.5,69.3,8.9,0,17.3,*
WOODWARD ELEM. (6120),2014,345,6.1,68.7,11,0,14.2,*
WOODWARD ELEM. (6120),2013,265,6.4,62.3,14.7,0.4,16.2,*
WOODWARD ELEM. (6120),2012,268,8.2,59.7,13.8,1.1,17.2,*
WOODWARD ELEM. (6120),2011,289,6.2,56.4,12.5,0.7,24.2,93.1
WOODWARD ELEM. (6120),2010,322,5.3,57.1,13,0.3,24.2,92.4
WOODWARD ELEM. (6120),2009,283,2.5,52.7,9.5,0.4,35,70.6
WOODWARD ELEM. (6120),2008,304,4.6,55.3,7.9,0.7,31.6,70.4
WYMAN ELEM. (6140),2008,201,5,84.1,2,0,9,79.5
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,358,0,99.4,0,0,0.6,*
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,421,0,99.8,0,0,0.2,94.7
