"","School.Name","CONTENT_AREA","CATEGORY","TYPE","GRADE_SUBJECT","YEAR","ACCOUNTABLE","PARTICIPANT","REPORTABLE","LEVEL_NOT_DETERMINED","LEVEL_NOT_DETERMINED_PCT","BELOW_BASIC","BELOW_BASIC_PCT","BASIC","BASIC_PCT","PROFICIENT","PROFICIENT_PCT","ADVANCED","ADVANCED_PCT","MAP_INDEX","MEAN_SCALE_SCORE","MEDIAN_TERRANOVA"
"85","BUDER ELEM.  (4200)","Mathematics","Total","Total","Third Grade",2015,47,NA,47,NA,NA,12,25.5,17,36.2,14,29.8,NA,8.5,NA,2414.2,"--"
"86","BUDER ELEM.  (4200)","Mathematics","Total","Total","Fourth Grade",2015,58,NA,58,NA,NA,14,24.1,20,34.5,19,32.8,NA,8.6,NA,2464.1,"--"
"87","BUDER ELEM.  (4200)","Mathematics","Total","Total","Fifth Grade",2015,28,NA,28,NA,NA,16,57.1,NA,25,NA,7.1,NA,10.7,NA,2460,"--"
"88","BUDER ELEM.  (4200)","Science","Total","Total","Fifth Grade",2015,28,NA,28,NA,NA,12,42.9,10,35.7,NA,14.3,NA,7.1,NA,642,"--"
"89","BUSCH MS CHARACTER & ATHLETICS  (3050)","Eng. Language Arts","Total","Total","Sixth Grade",2015,109,NA,109,NA,NA,38,34.9,32,29.4,29,26.6,10,9.2,NA,2491.6,"--"
"90","BUSCH MS CHARACTER & ATHLETICS  (3050)","Eng. Language Arts","Total","Total","Seventh Grade",2015,110,NA,110,NA,NA,24,21.8,25,22.7,49,44.5,12,10.9,NA,2543.7,"--"
"91","BUSCH MS CHARACTER & ATHLETICS  (3050)","Eng. Language Arts","Total","Total","Eighth Grade",2015,119,NA,119,NA,NA,12,10.1,49,41.2,49,41.2,NA,7.6,NA,2563.9,"--"
"92","BUSCH MS CHARACTER & ATHLETICS  (3050)","Mathematics","Total","Total","Sixth Grade",2015,109,NA,109,NA,NA,61,56,36,33,NA,6.4,NA,NA,NA,2451,"--"
"93","BUSCH MS CHARACTER & ATHLETICS  (3050)","Mathematics","Total","Total","Seventh Grade",2015,110,NA,110,NA,NA,44,40,44,40,12,10.9,10,9.1,NA,2497.7,"--"
"94","BUSCH MS CHARACTER & ATHLETICS  (3050)","Mathematics","Total","Total","Eighth Grade",2015,89,NA,89,NA,NA,58,65.2,23,25.8,NA,6.7,NA,NA,NA,2480.2,"--"
"95","BUSCH MS CHARACTER & ATHLETICS  (3050)","Science","Total","Total","Eighth Grade",2015,119,NA,119,NA,NA,30,25.2,54,45.4,27,22.7,NA,6.7,NA,685.8,"--"
"96","CARNAHAN SCH. OF THE FUTURE  (1500)","Eng. Language Arts","Total","Total","Eleventh Grade",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"--"
"97","CARNAHAN SCH. OF THE FUTURE  (1500)","Mathematics","Total","Total","Eleventh Grade",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"--"
"98","CARNAHAN SCH. OF THE FUTURE  (1500)","Science","Total","Total","Eleventh Grade",2015,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,33.3,NA,33.3,NA,0,"--"
"99","CARR LANE VPA MIDDLE  (3070)","Eng. Language Arts","Total","Total","Sixth Grade",2015,154,NA,154,NA,NA,78,50.6,41,26.6,31,20.1,NA,NA,NA,2453.5,"--"
"100","CARR LANE VPA MIDDLE  (3070)","Eng. Language Arts","Total","Total","Seventh Grade",2015,187,NA,187,NA,NA,77,41.2,65,34.8,39,20.9,NA,NA,NA,2497,"--"
"101","CARR LANE VPA MIDDLE  (3070)","Eng. Language Arts","Total","Total","Eighth Grade",2015,188,NA,188,NA,NA,74,39.4,67,35.6,41,21.8,NA,NA,NA,2510.2,"--"
"102","CARR LANE VPA MIDDLE  (3070)","Mathematics","Total","Total","Sixth Grade",2015,152,NA,152,NA,NA,88,57.9,39,25.7,20,13.2,NA,NA,NA,2452.5,"--"
"103","CARR LANE VPA MIDDLE  (3070)","Mathematics","Total","Total","Seventh Grade",2015,186,NA,186,NA,NA,132,71,45,24.2,NA,NA,NA,NA,NA,2441.4,"--"
"104","CARR LANE VPA MIDDLE  (3070)","Mathematics","Total","Total","Eighth Grade",2015,186,NA,186,NA,NA,142,76.3,36,19.4,NA,NA,NA,NA,NA,2454.2,"--"
