"","Name","YEAR","ENROLLMENT","TotalNumberOfIncidents"
"351","CLAY ELEM. (4360)",2014,145,0
"352","CLAY ELEM. (4360)",2015,164,0
"353","COLE ELEM. (4400)",2008,200,0
"354","COLE ELEM. (4400)",2009,166,1
"355","COLE ELEM. (4400)",2010,158,1
"356","COLE ELEM. (4400)",2011,156,1
"357","COLE ELEM. (4400)",2012,214,1
"358","COLE ELEM. (4400)",2013,299,0
"359","COLE ELEM. (4400)",2014,339,3
"360","COLE ELEM. (4400)",2015,382,6
"361","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2008,193,3
"362","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2009,200,0
"363","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2010,179,0
"364","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2011,185,3
"365","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2012,174,0
"366","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2013,198,4
"367","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2014,221,2
"368","COLUMBIA ELEM. COMM. ED. CTR. (4420)",2015,182,0
"369","COTE BRILLIANTE ELEM. (4440)",2008,261,2
"370","COTE BRILLIANTE ELEM. (4440)",2009,205,3
"371","COTE BRILLIANTE ELEM. (4440)",2010,204,4
"372","COTE BRILLIANTE ELEM. (4440)",2011,178,3
"373","COTE BRILLIANTE ELEM. (4440)",2012,166,0
"374","COTE BRILLIANTE ELEM. (4440)",2013,175,0
"375","COTE BRILLIANTE ELEM. (4440)",2014,216,0
"376","COTE BRILLIANTE ELEM. (4440)",2015,235,2
"377","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2008,414,0
"378","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2009,441,0
"379","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2010,427,1
"380","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2011,426,0
"381","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2012,411,2
"382","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2013,418,2
"383","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2014,378,0
"384","DEWEY SCH.-INTERNAT'L. STUDIES (4470)",2015,371,1
"385","DUNBAR AND BR. (4480)",2008,232,16
"386","DUNBAR AND BR. (4480)",2009,241,10
"387","DUNBAR AND BR. (4480)",2010,193,8
"388","DUNBAR AND BR. (4480)",2011,188,4
"389","DUNBAR AND BR. (4480)",2012,198,0
"390","DUNBAR AND BR. (4480)",2013,202,2
"391","DUNBAR AND BR. (4480)",2014,203,0
"392","DUNBAR AND BR. (4480)",2015,194,1
"393","FARRAGUT ELEM. (4580)",2008,202,1
"394","FARRAGUT ELEM. (4580)",2009,178,3
"395","FARRAGUT ELEM. (4580)",2010,174,5
"396","FARRAGUT ELEM. (4580)",2011,171,1
"397","FARRAGUT ELEM. (4580)",2012,166,2
"398","FARRAGUT ELEM. (4580)",2013,177,0
"399","FARRAGUT ELEM. (4580)",2014,185,0
"400","FARRAGUT ELEM. (4580)",2015,164,0
"401","FORD-FORD BR. ELEM. COMM. ED. (4630)",2008,288,1
"402","FORD-FORD BR. ELEM. COMM. ED. (4630)",2009,291,2
"403","FORD-FORD BR. ELEM. COMM. ED. (4630)",2010,356,1
"404","FORD-FORD BR. ELEM. COMM. ED. (4630)",2011,289,4
"405","FORD-FORD BR. ELEM. COMM. ED. (4630)",2012,214,6
"406","FORD-FORD BR. ELEM. COMM. ED. (4630)",2013,207,7
"407","FORD-FORD BR. ELEM. COMM. ED. (4630)",2014,249,2
"408","FORD-FORD BR. ELEM. COMM. ED. (4630)",2015,297,1
"409","FROEBEL ELEM. (4660)",2008,273,0
"410","FROEBEL ELEM. (4660)",2009,262,0
"411","FROEBEL ELEM. (4660)",2010,337,2
"412","FROEBEL ELEM. (4660)",2011,300,1
"413","FROEBEL ELEM. (4660)",2012,285,0
"414","FROEBEL ELEM. (4660)",2013,326,0
"415","FROEBEL ELEM. (4660)",2014,350,0
"416","FROEBEL ELEM. (4660)",2015,316,0
"417","GALLAUDET SCH. FOR DEAF ELEM. (4720)",2008,41,2
"418","GALLAUDET SCH. FOR DEAF ELEM. (4720)",2009,41,1
"419","GALLAUDET SCH. FOR DEAF ELEM. (4720)",2010,47,1
"420","GALLAUDET SCH. FOR DEAF ELEM. (4720)",2011,0,0
"421","GALLAUDET SCH. FOR DEAF ELEM. (4720)",NA,NA,NA
"422","GALLAUDET SCH. FOR DEAF ELEM. (4720)",NA,NA,NA
"423","GALLAUDET SCH. FOR DEAF ELEM. (4720)",NA,NA,NA
"424","GALLAUDET SCH. FOR DEAF ELEM. (4720)",NA,NA,NA
"425","GATEWAY ELEM. (4730)",2008,464,3
"426","GATEWAY ELEM. (4730)",2009,443,2
"427","GATEWAY ELEM. (4730)",2010,462,3
"428","GATEWAY ELEM. (4730)",2011,436,4
"429","GATEWAY ELEM. (4730)",2012,509,5
"430","GATEWAY ELEM. (4730)",2013,545,0
"431","GATEWAY ELEM. (4730)",2014,540,0
"432","GATEWAY ELEM. (4730)",2015,511,1
"433","GUNDLACH ELEM. (4760)",2008,216,10
"434","GUNDLACH ELEM. (4760)",NA,NA,NA
"435","GUNDLACH ELEM. (4760)",NA,NA,NA
"436","GUNDLACH ELEM. (4760)",NA,NA,NA
"437","GUNDLACH ELEM. (4760)",NA,NA,NA
"438","GUNDLACH ELEM. (4760)",NA,NA,NA
"439","GUNDLACH ELEM. (4760)",NA,NA,NA
"440","GUNDLACH ELEM. (4760)",NA,NA,NA
"441","HAMILTON ELEM. COMMUNITY ED. (4780)",2008,214,10
"442","HAMILTON ELEM. COMMUNITY ED. (4780)",2009,278,3
