Name,Year,Out_School_Suspension
MARK TWAIN ELEM.,2013,
MARK TWAIN ELEM.,2014,
MARK TWAIN ELEM.,2015,
MASON ELEM.,2008,0.7
MASON ELEM.,2009,0.4
MASON ELEM.,2010,0.4
MASON ELEM.,2011,0.3
MASON ELEM.,2012,0
MASON ELEM.,2013,0
MASON ELEM.,2014,0
MASON ELEM.,2015,0
MCKINLEY CLASS. LEADERSHIP AC.,2008,0
MCKINLEY CLASS. LEADERSHIP AC.,2009,0
MCKINLEY CLASS. LEADERSHIP AC.,2010,1.7
MCKINLEY CLASS. LEADERSHIP AC.,2011,0.7
MCKINLEY CLASS. LEADERSHIP AC.,2012,1
MCKINLEY CLASS. LEADERSHIP AC.,2013,0.2
MCKINLEY CLASS. LEADERSHIP AC.,2014,0.6
MCKINLEY CLASS. LEADERSHIP AC.,2015,0.6
MCKINLEY/CLASSICAL JR. ACAD.,2008,1.6
MCKINLEY/CLASSICAL JR. ACAD.,2009,1.5
MCKINLEY/CLASSICAL JR. ACAD.,2010,0.6
MCKINLEY/CLASSICAL JR. ACAD.,2011,
MCKINLEY/CLASSICAL JR. ACAD.,2012,
MCKINLEY/CLASSICAL JR. ACAD.,2013,
MCKINLEY/CLASSICAL JR. ACAD.,2014,
MCKINLEY/CLASSICAL JR. ACAD.,2015,
MEDA P. WASHINGTON EARLY CHILD,2008,0
MEDA P. WASHINGTON EARLY CHILD,2009,0
MEDA P. WASHINGTON EARLY CHILD,2010,
MEDA P. WASHINGTON EARLY CHILD,2011,
MEDA P. WASHINGTON EARLY CHILD,2012,
MEDA P. WASHINGTON EARLY CHILD,2013,
MEDA P. WASHINGTON EARLY CHILD,2014,
MEDA P. WASHINGTON EARLY CHILD,2015,
MERAMEC ELEM.,2008,1.4
MERAMEC ELEM.,2009,2.7
MERAMEC ELEM.,2010,2.4
MERAMEC ELEM.,2011,3.1
MERAMEC ELEM.,2012,0.5
MERAMEC ELEM.,2013,0
MERAMEC ELEM.,2014,0
MERAMEC ELEM.,2015,2.2
METRO HIGH,2008,0.6
METRO HIGH,2009,0
METRO HIGH,2010,0
METRO HIGH,2011,0
METRO HIGH,2012,0.3
METRO HIGH,2013,0.3
METRO HIGH,2014,0
METRO HIGH,2015,0
MILLER CAREER ACADEMY,2008,4.6
MILLER CAREER ACADEMY,2009,12.5
MILLER CAREER ACADEMY,2010,2.9
MILLER CAREER ACADEMY,2011,0.1
MILLER CAREER ACADEMY,2012,2.4
MILLER CAREER ACADEMY,2013,1.9
MILLER CAREER ACADEMY,2014,0.4
MILLER CAREER ACADEMY,2015,2.9
MITCHELL ELEM.,2008,2.1
MITCHELL ELEM.,2009,
MITCHELL ELEM.,2010,
MITCHELL ELEM.,2011,
MITCHELL ELEM.,2012,
MITCHELL ELEM.,2013,
MITCHELL ELEM.,2014,
